filename|id|source-name|source-partition-id|ref-type|ref-scope|text|context|alias|partition|doc-type|authority|region|city|detached-city|section|ministry|other-authority|eu-acronym|number|year|full-number|case-number|area|doc-date|deposit-date|notification-date|publication-date|applicant|defendant|ro-number|rv-number|gu-series|url|cited-doc-simple-id|cited-art-simple-id|cited-comma-simple-id
Sentenza_U91_5452_2021.json|11|||legislation|nazionale|art. 69 del r.d. 2440/1923|art. 69 del r.d. 2440/1923||articolo-69|DECR|RE||||||||2440|1923|||||||||||||http://www.normattiva.it/uri-res/N2Ls?urn:nir:re:decreto:1923;2440~art69|re:decreto:1923;2440|re:decreto:1923;2440_articolo-69|
Sentenza_U91_5452_2021.json|12|||legislation|nazionale|art. 38 bis c. 3 dpr 633/1972|art. 38 bis c. 3 dpr 633/1972||articolo-38-bis_comma-3|DECR|PRES_REP||||||||633|1972|||||||||||||http://www.normattiva.it/uri-res/N2Ls?urn:nir:presidente.repubblica:decreto:1972;633~art38bis-comma3|presidente.repubblica:decreto:1972;633|presidente.repubblica:decreto:1972;633_articolo-38-bis|presidente.repubblica:decreto:1972;633_articolo-38-bis_comma-3
Sentenza_U91_5452_2021.json|13|||legislation|nazionale|r.d. 2440/1923|r.d. 2440/1923|||DECR|RE||||||||2440|1923|||||||||||||http://www.normattiva.it/uri-res/N2Ls?urn:nir:re:decreto:1923;2440|re:decreto:1923;2440||
Sentenza_U91_5452_2021.json|14|||legislation|nazionale|art. 23 dlgs. 472/1997|art. 23 dlgs. 472/1997||articolo-23|DLGS|||||||||472|1997|||||||||||||http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:1997;472~art23|decreto.legislativo:1997;472|decreto.legislativo:1997;472_articolo-23|
Sentenza_U91_5452_2021.json|15|||legislation|nazionale|dpr 633/1972|dpr 633/1972|||DECR|PRES_REP||||||||633|1972|||||||||||||http://www.normattiva.it/uri-res/N2Ls?urn:nir:presidente.repubblica:decreto:1972;633|presidente.repubblica:decreto:1972;633||
Sentenza_U91_5452_2021.json|16|||legislation|nazionale|d.l. n. 429 del 1982, art. 4, comma 1, n. 5|d.l. n. 429 del 1982, art. 4, comma 1, n. 5||articolo-4_comma-1_numero-5|DL|||||||||429|1982|||||||||||||http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legge:1982;429~art4-comma1-num5|decreto.legge:1982;429|decreto.legge:1982;429_articolo-4|decreto.legge:1982;429_articolo-4_comma-1
Sentenza_U91_5452_2021.json|17|||legislation|nazionale|dlgs. n. 74 del 2000, artt. 2|dlgs. n. 74 del 2000, artt. 2 e 8||articolo-2|DLGS|||||||||74|2000|||||||||||||http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2000;74~art2|decreto.legislativo:2000;74|decreto.legislativo:2000;74_articolo-2|
Sentenza_U91_5452_2021.json|18|||legislation|nazionale|8|dlgs. n. 74 del 2000, artt. 2 e 8||articolo-8|DLGS|||||||||74|2000|||||||||||||http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2000;74~art8|decreto.legislativo:2000;74|decreto.legislativo:2000;74_articolo-8|
Sentenza_U91_5452_2021.json|19|||caselaw|nazionale|Suprema Corte , Sezioni Unite 31.01.2020 n. 2320|Suprema Corte , Sezioni Unite 31.01.2020 n. 2320||||CORTE_CASS||||UNITE||||2320|||||2020-01-31||||||||||||
Sentenza_U91_5452_2021.json|20|||caselaw|nazionale|Cass. n. 15424 del 2009|Cass. n. 15424 del 2009||||CORTE_CASS||||||||15424|2009||||||||||||||||
